"","Latitude","Longitude","annualmean","annualsd","annualmean_n","annualsd_n","annualchl"
"1",-77.5,-178.5,379.110774544188,9.91497266984625,453.199649517389,23.5701264059098,2.39607891819719
"2",-77.5,-177.5,383.29968268678,16.5525374017096,457.462174645837,23.4505355778724,2.51771221282306
"3",-77.5,-176.5,378.09501367522,8.96729196913122,452.798610838804,12.1937625255842,2.65317784125606
"4",-77.5,-175.5,385.327687966557,18.6698560787375,457.964000675519,22.3775763296667,2.75456189060653
"5",-77.5,-174.5,387.049261650165,12.5081321628876,463.937883581427,24.2401720485179,2.6053244702311
"6",-77.5,-173.5,384.914643531074,19.2272669598836,456.918526677343,22.665588448364,2.46682003512978
"7",-77.5,-172.5,381.451137108621,14.5818514196369,457.363261522471,24.3443944310764,2.0568063843271
"8",-77.5,-171.5,415.653377035087,50.6968139787397,488.797117611916,54.9084576152575,2.4659519802641
"9",-77.5,-170.5,409.612540302532,56.5774987231424,471.045468953973,57.3332209267102,3.03195186828574
"10",-77.5,-169.5,391.307380252115,17.3488469496997,457.616212033283,28.7103982848352,3.09491775088288
"11",-77.5,-168.5,421.954216263605,50.4707493730818,480.820975449323,48.9671117625906,2.4740878278907
"12",-77.5,-167.5,377.245156873079,10.7648707836352,446.459207469054,16.8449361846309,2.25955542588994
"13",-77.5,-166.5,420.884000934368,55.2207729004724,488.393421708273,56.9578541576348,2.18535086631333
"14",-77.5,-165.5,404.853280175158,13.5499356445706,477.300209725626,20.1412511105674,2.81580121953178
"15",-77.5,-164.5,386.03407547186,9.7651830382844,456.609770888602,27.147301698313,3.28472668367128
"16",-77.5,-163.5,386.83756959382,32.4966980143891,456.271245846894,45.439414128442,4.08866114390117
"17",-77.5,-162.5,397.88970866395,28.385979825554,479.539600599492,45.8286645781775,3.16969998668324
"18",-77.5,-161.5,389.495660818933,27.501223011492,468.003613040745,34.4266034515442,3.25664032885322
"19",-77.5,-160.5,406.028023560147,33.5710291307164,467.762844086662,49.9249413781626,2.52932186424732
"20",-77.5,-159.5,416.08908931625,24.3093169193001,482.351553542838,35.0826943847906,1.97878187139269
"21",-77.5,-44.5,449.949097327068,101.176582715592,530.35622490044,111.53891693052,1.73024115297529
"22",-77.5,-43.5,397.162992319626,59.1328363191929,476.801502870245,79.2272178583483,1.98763514321452
"23",-77.5,-42.5,321.172319541599,80.6974571063258,365.980753431513,119.445871209867,0.61767863953022
"24",-77.5,-41.5,274.895794216253,99.5443504936002,438.552952497763,29.9279467993339,0.193810354545713
"25",-77.5,-40.5,249.534890966183,84.6874938756127,359.309751184366,57.6331617293851,0.604197640316907
"26",-77.5,-39.5,283.443779826022,52.1001022696449,318.386978494815,79.1145771877148,1.03519193271882
"27",-77.5,-38.5,265.365754979568,74.4690848125241,312.905890057942,84.5361750661324,1.12278331488276
"28",-77.5,-37.5,252.942423807652,71.5570568496034,325.796888174542,69.2799825733896,1.07223945447189
"29",-77.5,-36.5,358.828995229867,13.6193678355431,441.203306282249,13.0220992944173,2.17302994194243
"30",-77.5,-35.5,356.88786549616,7.05425277035072,439.625950519992,2.1501438309144,2.23835323563073
"31",-77.5,165.5,406.920644816607,113.605336016306,499.91839718505,95.5848729569797,0.752868075461607
"32",-76.5,-179.5,389.721703060383,13.2039712525,458.748113993148,28.3330629085142,2.60916837206569
"33",-76.5,-178.5,387.213850685704,9.8187442012304,461.654762511158,18.1390393691229,2.15823009543415
"34",-76.5,-177.5,380.302511252733,11.7638591280374,449.190774691172,13.6980554231741,2.68172012969194
"35",-76.5,-176.5,384.356168245491,10.5201955516714,454.333885988407,10.5962185862807,2.24777949270275
"36",-76.5,-175.5,404.740962937511,52.0584876831081,470.309327354764,53.1971070853866,1.78344971358914
"37",-76.5,-174.5,396.392831657507,15.566068575547,467.921926946063,32.5293069072993,2.10090926963238
"38",-76.5,-173.5,382.674811755145,1.17929447042839,446.945649635015,17.903263436311,2.28176389441446
"39",-76.5,-172.5,375.768167292239,2.13146510541371,437.40427830874,19.2286665839498,2.09545353134304
"40",-76.5,-171.5,365.292282928673,14.2240026704145,429.169154648623,14.8065095897908,2.02310532067592
